report_type,report_year,country,reform_title,reform_description,reform_year,coder,model_reasoning,precision,modified_precision,recall,total_recall,years identified,RA year count,claude-sonnet-4-6,year_match_claude,gemini-3.1-pro,year_match_gemini,chatgpt-5.5,year_match_chatgpt,reform_id
,,,,,,,,,,,,1990,1,1,1,1,1,1,1,
SABER_Armenia,2019,Armenia,Introduction of centralized admission exams,"Following public distrust in university entrance procedures and protests by those who felt excluded from the system, the government introduced centralized admission exams in 1990s",1990,Esther,,,,,,1995,0,1,0,0,1,1,0,
SABER_Armenia,2019,Armenia,Government Decree No. 24,"Since January 2001, Government Decree No. 24, on State Standards for Higher and Vocational Education, has required tertiary education institutions to adopt educational standards, curriculum, and teaching practices established by the government.",2001,Esther,,,,,,1999,0,1,0,1,0,1,0,
SABER_Armenia,2019,Armenia,The Law on State Non-Commercial Organizations ,Public universities are also subject to the Law on State Non-Commercial Organizations (hereafter the SNCO Law). This law became applicable to public educational institutions in 2002-2003 when the legal status of those institutions changed from state bodies to state non-commercial organizations. ,2002,Esther,,,,,,2001,1,1,1,1,1,0,0,
SABER_Armenia,2019,Armenia,The Law on Higher Education and Post-Graduate Education,"In 2004, The Law on Higher Education and Post-Graduate Education was adopted by the Armenian Parliament.",2004,Esther,,,,,,2002,1,2,0.5,1,1,1,1,
SABER_Armenia,2019,Armenia,Extensive reform agenda,"In 2005, Armenia joined the Bologna Process, which led the country to focus on an extensive reform agenda to place it in the European Higher Education Area. The country adopted the three-cycle system of higher education and reoriented its programs on learning outcomes and the European Credit Transfer and Accumulation System (ECTS). ",2005,Esther,,,,,,2004,1,2,0.5,1,1,2,0.5,
SABER_Armenia,2019,Armenia,The 2005 Law on Higher and Postgraduate Professional Education,"One of the significant steps was the introduction of the 2005 Law on Higher and Postgraduate Professional Education, which brought a new governance system to Armenia's public higher education institutions. Before this law was passed, rectors of universities were appointed by the prime minister or minister of Education and Science. The law introduced university boards as the main governance bodies of public universities.",2005,Esther,,,,,,2005,2,1,0.5,1,0.5,1,0.5,
SABER_Armenia,2019,Armenia,The 2006 National Curriculum ,"The 2006 National Curriculum provides very general, non-comprehensive guidelines on classroom assessment",2006,Liam,,,,,,2006,1,0,0,0,0,0,0,
SABER_Armenia,2019,Armenia,Establishment of the National Center for Professional Education Quality Assurance (ANQA),"In 2008, the National Center for Professional Education Quality Assurance (ANQA) was established, which started the development of accreditation principles and standards and the process of accreditation",2008,Esther,,,,,,2008,1,1,1,1,1,1,1,
SABER_Armenia,2019,Armenia,The Regulation on Licensing of Education Programs,"There is a licensing agency in Armeniahj that regulates licensing procedures for universities based on the Regulation on Licensing of Education Programs adopted by the Armenian government in 2009. There are several requirements for licensing, which include the requirements that 50 percent of academic staff be full-time workers and that 50 percent of academic staff hold scientific degrees. Additionally, there are requirements on auditoriums, labs, and libraries. Licensing is not time-bound, and universities need to get licensing for each specialty. Licensing also defines the language(s) of instruction to be used, types of programs (full-time and/or part-time) universities can offer, and the maximum number of students they can enroll.",2009,Esther,,,,,,2009,1,3,0.33,2,0.5,2,0.5,
SABER_Armenia,2019,Armenia,the Statute on State Accreditation of Tertiary Level Institutions and Academic Programs in the Republic of Armenia (2011),"According to the Statute on State Accreditation of Tertiary Level Institutions and Academic Programs in the Republic of Armenia (2011, hereafter, Statute on Tertiary Accreditation), all institutions were required to apply for institutional accreditation by December 31, 2018, but some institutions have not yet complied with this requirement. ",2011,Esther,,,,,,2010,0,1,0,1,0,1,0,
SABER_Armenia,2019,Armenia,"Procedures on Academic Mobility of Higher Educational Institution Students,","The academic mobility of students in higher education is regulated by the Law on Higher Education under the section entitled, Procedures on Academic Mobility of Higher Educational Institution Students, which was adopted in 2011.",2011,Liam,,,,,,2011,2,3,0.66,3,0.66,3,0.66,
SABER_Armenia,2019,Armenia,Anti-corruption strategy for 2015–2018,"In 2015, the Government of Armenia developed an anti-corruption strategy for 2015–2018 with an action plan, listing higher education as one of the priorities.",2015,Esther,,,,,,2014,0,1,0,1,0,0,0,
